Artist,Track,msPlayed,Name
"Shreya Ghoshal","Elangathu (From "Pithamagan")",369773,"Elena"
"S. P. Balasubrahmanyam","Koondukkulla",256880,"Elena"
"Karthik","Un Paarvaiyil",358853,"Elena"
"Srinivas","Mudhal Murai Killi Parthen",370535,"Elena"
"Ilaiyaraaja","Surmayee Ankhiyon Mein - Happy Version",90518,"Elena"
"Angus & Julia Stone","Bella",240874,"Elena"
"The Lumineers","Flowers In Your Hair",110560,"Elena"
"Kings of Convenience","I'd Rather Dance With You",209026,"Elena"
"Tom Grennan","Found What I've Been Looking For",193680,"Elena"
"The Beatles","Eight Days A Week - Remastered 2015",163320,"Elena"
"Vance Joy","Mess Is Mine",223640,"Elena"
"Mumford & Sons","Snake Eyes",248546,"Elena"
"Lo-Fang","You're The One That I Want",204706,"Elena"
"Niccolò Fabi","Costruire",93836,"Elena"
"RY X","Oceans",279573,"Elena"
"RY X","Oceans",279573,"Elena"
"Rhye","Patience",254346,"Elena"
"The Paper Kites","On the Train Ride Home",227200,"Elena"
"Villagers","Nothing Arrived - Live from Spotify London",219093,"Elena"
"RY X","Shortline",234247,"Elena"
"Hollow Coves","Coastline",233973,"Elena"
"Rhye","Wicked Dreams",271506,"Elena"
"Billie Marten","La Lune",187266,"Elena"
"RY X","Love Like This",250701,"Elena"
"RY X","Oceans",279573,"Elena"
"RY X","Body - Ambient",85800,"Elena"
"Blanco White","Olalla",247373,"Elena"
"Novo Amor","I Make Sparks",218573,"Elena"
"Villagers","A Trick of the Light",248253,"Elena"
"S. Carey","Rose Petals",213666,"Elena"
"RY X","Only",268455,"Elena"
"The Paper Kites","Bloom (Online Bonus Track)",209816,"Elena"
"SYML","Where's My Love - Piano Solo",274493,"Elena"
"Keaton Henson","Petrichor",200370,"Elena"
"Novo Amor","Utican",175986,"Elena"
"RY X","Thunder",200000,"Elena"
"Billie Marten","Cartoon People",213539,"Elena"
"RY X","Berlin",174172,"Elena"
"Patrick Watson","Sit Down Beside Me",272466,"Elena"
"isaac gracie","love (aint always so good)",224812,"Elena"
"Henry Green","Electric Feel",199653,"Elena"
"Nick Mulvey","We Are Never Apart",274226,"Elena"
"Billie Marten","Milk & Honey",238653,"Elena"
"RY X","Body - Ambient",85800,"Elena"
"Charlie Cunningham","Headlights",212453,"Elena"
"SYML","Girl - Acoustic",211881,"Elena"
"S. Carey","Hideout",173240,"Elena"
"Novo Amor","Cold",263045,"Elena"
"Patrick Watson","Je te laisserai des mots",160853,"Elena"
"RY X","Body Sun",300640,"Elena"
"Rosie Carney","Thousand (feat. Lisa Hannigan)",206440,"Elena"
"Elder Island","Welcome State",270476,"Elena"
"RY X","Oceans",279573,"Elena"
"Billie Marten","Cursive",240400,"Elena"
"Charlie Cunningham","Don't Go Far",219013,"Elena"
"S. Carey","Yellowstone",230506,"Elena"
"RY X","Bad Love",238005,"Elena"
"Fenne Lily","Car Park",173499,"Elena"
"Kiasmos","Blurred",305546,"Elena"
"The Paper Kites","Bloom (Online Bonus Track)",209816,"Elena"
"RY X","Foreign Tides",232680,"Elena"
"Rhye","Softly - Mahogany Sessions",304893,"Elena"
"Harrison Storm","Sense of Home",265840,"Elena"
"Hollow Coves","Coastline",233973,"Elena"
"Benjamin Francis Leftwich","4AM in London",188664,"Elena"
"Roo Panes","Little Giant",292426,"Elena"
"RY X","Untold",258561,"Elena"
"RY X","Salt",324350,"Elena"
"SYML","Wildfire - Alternate Version",233640,"Elena"
"Novo Amor","From Gold",214335,"Elena"
"Blanco White","Olalla",247373,"Elena"
"RY X","Love Like This",250701,"Elena"
"Amber Run","5AM",257906,"Elena"
"Vancouver Sleep Clinic","Ayahuasca",508601,"Elena"
"Novo Amor","Anchor",257533,"Elena"
"RY X","Fumbling Prayer",320684,"Elena"
"Christian Löffler","Pale Skin",230991,"Elena"
"Rhye","Waste - RY X Remix",553413,"Elena"
"Henry Jamison","Real Peach",233289,"Elena"
"Aquilo","Thin",153198,"Elena"
"Gayatri Mantra","Gayatri Manra",264703,"Elena"
"S. Janaki","Om Bhoor Bhuvaha Swaha Tat Savitur Varenyam Bhargo Devasya Dhimahi Dhiyo Yo Naha Prachodayat",418986,"Elena"
"Buddhattitude","Playa Blanca Dream",148074,"Elena"
"Soda Stereo","Te Hacen Falta Vitaminas - Remasterizado 2007",76800,"Elena"
"Manoj Devi","Pardesi Pardesi",60501,"Elena"
"Guitarricadelafuente","Guantanamera",191702,"Elena"
"Niño de Elche","Cerrado Por Derribo",172469,"Elena"
"Buddhattitude","Playa Blanca Dream",233280,"Elena"
"Professor Oz","High Limit Spiritual",333906,"Elena"
"Riccardo Eberspacher","Flavescens",265066,"Elena"
"Arno Elias","La Foret Inconnue",247664,"Elena"
"Buddhattitude","Liberdade",264026,"Elena"
"Professor Oz","Emphiger",234506,"Elena"
"Riccardo Eberspacher","Zanguebarica",272253,"Elena"
"Yves Coignet","Musica Del Mar",232480,"Elena"
"Buddhattitude","Nomads",267253,"Elena"
"Riccardo Eberspacher","Wallichii",277533,"Elena"
"Yves Coignet","Abre Tu Corazon",270746,"Elena"
"Abdelkader Khabouri","Argentina Love Affair",236453,"Elena"
"Buddhattitude","Hadjira",157730,"Elena"
"RY X","Berlin",174172,"Elena"
"RY X","Oceans",279573,"Elena"
"RY X","YaYaYa",229533,"Elena"
"RY X","Love Like This",250701,"Elena"
"RY X","Howling",309590,"Elena"
"RY X","Thunder",200000,"Elena"
"RY X","Bound",298213,"Elena"
"RY X","Bad Love",238005,"Elena"
"RY X","Only",268455,"Elena"
"Nocturnal Sunshine","Gravity (feat. RY X) - Edit",181868,"Elena"
"RY X","Untold",258561,"Elena"
"ODESZA","Corners Of The Earth - MEMBA Remix",54816,"Elena"
"Sugarland","Stuck Like Glue",2624,"Elena"
"Gary Jules","Mad World (Feat. Michael Andrews)",6335,"Elena"
"The Cure","Just Like Heaven",212013,"Elena"
"Lykke Li","I Follow Rivers",228466,"Elena"
"Ludovico Einaudi","Una mattina",12237,"Elena"
"Gazzelle","Non sei tu",199200,"Elena"
"The Japanese House","Maybe You're the Reason",218935,"Elena"
"Arctic Monkeys","Love is a Laserquest",191426,"Elena"
"Gino Paoli","Il cielo in una stanza",1088,"Elena"
"Lindstrøm","Where You Go I Go Too",33119,"Elena"
"Bomba Estéreo","To My Love",239546,"Elena"
"Hombres G","Suéltate el pelo",6140,"Elena"
"The Japanese House","Something Has to Change",191200,"Elena"
"Frank Ocean","Ivy",249191,"Elena"
"Nat King Cole","L-O-V-E",155306,"Elena"
"The Japanese House","f a r a w a y",16476,"Elena"
"Chet Faker","Gold",285255,"Elena"
"Michael Kiwanuka","Cold Little Heart",13913,"Elena"
"Russ","Psycho, Pt. 2",161985,"Elena"
"José González","Heartbeats",160240,"Elena"
"Radiohead","Everything In Its Right Place",1502,"Elena"
"John Lennon","Grow Old With Me - Remastered 2010",205844,"Elena"
"Jorge Drexler","Me haces bien",184546,"Elena"
"The Japanese House","Chewing Cotton Wool",209343,"Elena"
"Masego","Queen Tings",188053,"Elena"
"Bombay Bicycle Club","You Already Know",262533,"Elena"
"Future Islands","Time On Her Side",218506,"Elena"
"The Lumineers","Nobody Knows",188573,"Elena"
"Gazzelle","Nero",197865,"Elena"
"Future Islands","A Dream of You and Me",105327,"Elena"
"Gazzelle","Vita paranoia",405,"Elena"
"The Black Keys","Turn Blue",256,"Elena"
"The Beatles","Here, There And Everywhere - Remastered 2009",6634,"Elena"
"Exile","Kiss You All Over",214400,"Elena"
"Arctic Monkeys","Four Out Of Five",11041,"Elena"
"Cosmo","Sei la mia città",112575,"Elena"
"Gazzelle","Nero",197865,"Elena"
"David Bowie","Heroes - 2017 Remaster",371413,"Elena"
"Frank Sinatra","That's Life",187040,"Elena"
"Rhye","Song For You",238666,"Elena"
"Jim Sturgess","All My Loving - From "Across The Universe" Soundtrack",151426,"Elena"
"Rod Stewart","Have I Told You Lately - 2008 Remaster",241506,"Elena"
"Khalid","Vertigo",270413,"Elena"
"The Japanese House","somethingfartoogoodtofeel",265897,"Elena"
"The Police","Next To You",4634,"Elena"
"The Vaccines","Your Love Is My Favourite Band",189533,"Elena"
"Elton John","Your Song",6642,"Elena"
"Mumford & Sons","After The Storm",247880,"Elena"
"Barry White","Never, Never Gonna Give Ya Up - Single Version",3541,"Elena"
"Duke Dumont","Ocean Drive",206320,"Elena"
"The Japanese House","Follow My Girl",244686,"Elena"
"Swim Deep","She Changes the Weather",275426,"Elena"
"Camilo","Tutu",178613,"Elena"
"Pink Floyd","Shine On You Crazy Diamond (Pts. 1-5)",44015,"Elena"
"The West Coast Pop Art Experimental Band","I Won't Hurt You",144440,"Elena"
"Alvvays","Dreams Tonite",196026,"Elena"
"Editors","An End Has a Start",13456,"Elena"
"Pink Floyd","Shine On You Crazy Diamond (Pts. 6-9)",5065,"Elena"
"U2","Love Is Bigger Than Anything In Its Way",240600,"Elena"
"Keane","Somewhere Only We Know",3818,"Elena"
"Maggie Rogers","Love You For A Long Time",223120,"Elena"
"Lindstrøm","Lovesick",192280,"Elena"
"Adele","Make You Feel My Love",212040,"Elena"
"Mumford & Sons","Hopeless Wanderer",307853,"Elena"
"Coez","La tua canzone",27335,"Elena"
"The Japanese House","somethingfartoogoodtofeel",265897,"Elena"
"The Japanese House","went to meet her (intro)",151550,"Elena"
"The Japanese House","Sugar Pill",203668,"Elena"
"The Japanese House","Follow My Girl",244686,"Elena"
"The Japanese House","3/3",240416,"Elena"
"The Japanese House","Good side in",229939,"Elena"
"The Japanese House","Follow My Girl",244686,"Elena"
"The Japanese House","Wild",223319,"Elena"
"The Japanese House","We Talk all the Time",195314,"Elena"
"The Japanese House","Lilo - Live",214317,"Elena"
"The Japanese House","Lilo",259730,"Elena"
"The Japanese House","Somebody you found",213631,"Elena"
"The Japanese House","Lilo",250066,"Elena"
"The Japanese House","Clean",299544,"Elena"
"The Japanese House","You Seemed so Happy - Live",166274,"Elena"
"The Japanese House","3/3",240416,"Elena"
"The Japanese House","You Seemed so Happy",162485,"Elena"
"The Japanese House","Good side in",32725,"Elena"
"The Japanese House","Saw You in a Dream",167889,"Elena"
"Gazzelle","Nero",197865,"Elena"
"Niccolò Fabi","Costruire",313893,"Elena"
"Gazzelle","Non sei tu",199200,"Elena"
"Calcutta ","Cosa mi manchi a fare",169306,"Elena"
"lemandorle","Ti amo il venerdì sera",230178,"Elena"
"Coez","La tua canzone",192040,"Elena"
"Cosmo","Quando ho incontrato te",242253,"Elena"
"Viito","Bella come Roma",227373,"Elena"
"Carlos Sadness","Aloha",187392,"Elena"
"Zoé","Love",203626,"Elena"
"Charly García","Hablando a Tu Corazón",255266,"Elena"
"Charly García","Rezo Por Vos - Live",288200,"Elena"
"Charly García","No Soy Un Extraño - Live",262533,"Elena"
"Charly García","La Máquina de Ser Feliz",280493,"Elena"
"Charly García","Tu Amor",186693,"Elena"
"Bomba Estéreo","Somos Dos",237293,"Elena"
"Viito","Bella come Roma",227373,"Elena"
"Zoé","Love",203626,"Elena"
"Carlos Sadness","Aloha",7286,"Elena"
"The Japanese House","somethingfartoogoodtofeel",64,"Elena"
"The Japanese House","somethingfartoogoodtofeel",262613,"Elena"
"Gazzelle","Nero",197865,"Elena"
"The Lumineers","Ophelia",68471,"Elena"
"Bob Dylan","Don't Think Twice, It's All Right",7295,"Elena"
"Kasabian","You're in Love with a Psycho",5589,"Elena"
"The Lumineers","Ophelia",87267,"Elena"
"Bob Dylan","Don't Think Twice, It's All Right",2365,"Elena"
"Bob Dylan","Don't Think Twice, It's All Right",217400,"Elena"
"Kasabian","You're in Love with a Psycho",218080,"Elena"
"The National","Dark Side of the Gym",290093,"Elena"
