endTime,msPlayed,name
"2020-02-01 22:31",11711,"Jana"
"2020-02-02 12:29",197169,"Jana"
"2020-02-02 14:11",494297,"Jana"
"2020-02-02 14:14",108040,"Jana"
"2020-02-02 14:17",181188,"Jana"
"2020-02-02 14:17",13661,"Jana"
"2020-02-02 14:22",249133,"Jana"
"2020-02-02 14:23",85151,"Jana"
"2020-02-02 14:25",142872,"Jana"
"2020-02-02 14:29",204397,"Jana"
"2020-02-02 14:32",182381,"Jana"
"2020-02-02 14:33",98353,"Jana"
"2020-02-02 14:34",6153,"Jana"
"2020-02-02 14:37",187760,"Jana"
"2020-02-02 14:39",164444,"Jana"
"2020-02-02 14:43",233306,"Jana"
"2020-02-02 14:46",154306,"Jana"
"2020-02-02 14:49",188040,"Jana"
"2020-02-02 14:52",184946,"Jana"
"2020-02-02 14:56",201386,"Jana"
"2020-02-02 14:59",181909,"Jana"
"2020-02-02 15:02",183573,"Jana"
"2020-02-02 15:04",145720,"Jana"
"2020-02-02 15:05",33746,"Jana"
"2020-02-02 15:07",12104,"Jana"
"2020-02-02 15:07",119080,"Jana"
"2020-02-02 15:16",2159,"Jana"
"2020-02-02 15:16",232594,"Jana"
"2020-02-02 15:19",186080,"Jana"
"2020-02-02 15:23",235118,"Jana"
"2020-02-02 15:28",331312,"Jana"
"2020-02-02 16:53",821800,"Jana"
"2020-02-02 17:00",766,"Jana"
"2020-02-02 17:00",437334,"Jana"
"2020-02-02 17:04",199292,"Jana"
"2020-02-03 09:06",817690,"Jana"
"2020-02-03 09:11",289213,"Jana"
"2020-02-03 09:25",213573,"Jana"
"2020-02-03 09:26",19707,"Jana"
"2020-02-03 09:29",25867,"Jana"
"2020-02-03 09:29",202293,"Jana"
"2020-02-03 09:32",131633,"Jana"
"2020-02-03 18:17",914564,"Jana"
"2020-02-03 22:15",6912,"Jana"
"2020-02-03 22:16",2005,"Jana"
"2020-02-03 22:16",33621,"Jana"
"2020-02-03 22:17",85439,"Jana"
"2020-02-03 22:17",704,"Jana"
"2020-02-03 22:18",3562,"Jana"
"2020-02-03 22:18",7573,"Jana"
"2020-02-03 22:18",3200,"Jana"
"2020-02-03 22:18",1621,"Jana"
"2020-02-03 22:18",2474,"Jana"
"2020-02-03 22:18",24554,"Jana"
"2020-02-03 22:18",10069,"Jana"
"2020-02-03 22:19",29653,"Jana"
"2020-02-03 22:19",9002,"Jana"
"2020-02-03 22:19",24597,"Jana"
"2020-02-03 22:23",201506,"Jana"
"2020-02-03 22:27",274013,"Jana"
"2020-02-03 22:28",40855,"Jana"
"2020-02-04 09:33",27678,"Jana"
"2020-02-04 11:57",213346,"Jana"
"2020-02-04 12:01",210373,"Jana"
"2020-02-04 12:03",115463,"Jana"
"2020-02-04 12:06",192087,"Jana"
"2020-02-04 12:10",217989,"Jana"
"2020-02-04 12:15",294296,"Jana"
"2020-02-04 12:20",307500,"Jana"
"2020-02-04 12:25",341946,"Jana"
"2020-02-04 12:28",164760,"Jana"
"2020-02-04 12:31",161690,"Jana"
"2020-02-04 12:31",11700,"Jana"
"2020-02-04 12:36",285106,"Jana"
"2020-02-04 13:35",832,"Jana"
"2020-02-04 13:35",210414,"Jana"
"2020-02-04 21:17",380373,"Jana"
"2020-02-04 21:22",289213,"Jana"
"2020-02-04 21:23",9678,"Jana"
"2020-02-04 21:26",194760,"Jana"
"2020-02-04 21:30",249133,"Jana"
"2020-02-04 21:55",230413,"Jana"
"2020-02-04 21:59",277266,"Jana"
"2020-02-04 22:02",10156,"Jana"
"2020-02-04 22:02",693,"Jana"
"2020-02-04 22:02",154074,"Jana"
"2020-02-04 22:07",287189,"Jana"
"2020-02-05 09:26",640533,"Jana"
"2020-02-05 09:30",136768,"Jana"
"2020-02-05 09:30",789,"Jana"
"2020-02-05 10:55",3767800,"Jana"
"2020-02-05 10:58",172072,"Jana"
"2020-02-05 11:06",509205,"Jana"
"2020-02-05 11:48",941065,"Jana"
"2020-02-05 12:06",50642,"Jana"
"2020-02-05 18:24",10216,"Jana"
"2020-02-05 18:43",1147878,"Jana"
"2020-02-06 13:45",1451968,"Jana"
"2020-02-06 13:45",13674,"Jana"
"2020-02-06 13:49",274013,"Jana"
"2020-02-06 13:50",4100,"Jana"
"2020-02-06 13:53",191395,"Jana"
"2020-02-06 13:56",213346,"Jana"
"2020-02-06 14:00",210373,"Jana"
"2020-02-06 14:02",115463,"Jana"
"2020-02-06 14:05",192087,"Jana"
"2020-02-06 14:30",1461297,"Jana"
"2020-02-06 14:35",294296,"Jana"
"2020-02-06 14:40",307500,"Jana"
"2020-02-06 14:46",341946,"Jana"
"2020-02-06 14:49",164760,"Jana"
"2020-02-06 14:51",161690,"Jana"
"2020-02-06 14:55",201133,"Jana"
"2020-02-06 14:59",285106,"Jana"
"2020-02-06 15:03",214077,"Jana"
"2020-02-06 15:07",212320,"Jana"
"2020-02-06 15:08",49341,"Jana"
"2020-02-06 19:59",634410,"Jana"
"2020-02-06 22:39",852906,"Jana"
"2020-02-07 08:02",821528,"Jana"
"2020-02-07 08:37",327752,"Jana"
"2020-02-07 08:46",250176,"Jana"
"2020-02-07 17:53",1433440,"Jana"
"2020-02-07 17:54",42424,"Jana"
"2020-02-07 18:30",289213,"Jana"
"2020-02-07 18:30",20900,"Jana"
"2020-02-08 18:37",289213,"Jana"
"2020-02-08 18:40",213573,"Jana"
"2020-02-08 18:44",194760,"Jana"
"2020-02-08 18:48",249133,"Jana"
"2020-02-08 18:50",8452,"Jana"
"2020-02-08 18:50",144004,"Jana"
"2020-02-08 18:53",178146,"Jana"
"2020-02-08 18:56",101665,"Jana"
"2020-02-09 11:17",124412,"Jana"
